Bank,Country,Europe,Asia,North America,Canada,UK,Australia,Cum % of Assets Loaned since 2016,2020 Assets (Billions),Policy - Total Coal (0/80),Policy - Total O&G (0/120),Policy - Total Scores (0/200),FFF - total rank,FFF - European Rank,FFF - Asian Rank,FFF - North American Rank,FFF - Canadian Rank,FFF - UK Rank,FFF - 2016,FFF - 2017,FFF - 2018,FFF - 2019,FFF - 2020,FFF - 2016-2020,FFF - Compared To 2016,AOG - Rank,AOG - European Rank,AOG - Asian Rank,AOG - North American Rank,AOG - Canadian Rank,AOG - UK Rank,AOG - 2016,AOG - 2017,AOG - 2018,AOG - 2019,AOG - 2020,AOG - Total,AOG - Compared To 2016,CM - Rank,CM - European Rank,CM - Asian Rank,CM - North American Rank,CM - Canadian Rank,CM - UK Rank,CM - 2016,CM - 2017,CM - 2018,CM - 2019,CM - 2020,CM - Total,CM - Compared To 2016,CP - Rank,CP - European Rank,CP - Asian Rank,CP - North American Rank,CP - Canadian Rank,CP - UK Rank,CP - 2016,CP - 2017,CP - 2018,CP - 2019,CP - 2020,CP - Total,CP - Compared To 2016,FFE - Rank,FFE - European Rank,FFE - Asian Rank,FFE - North American Rank,FFE - Canadian Rank,FFE - UK Rank,FFE - 2016,FFE - 2017,FFE - 2018,FFE - 2019,FFE - 2020,FFE - Total,FFE - Compared To 2016,FOG - Rank,FOG - European Rank,FOG - Asian Rank,FOG - North American Rank,FOG - Canadian Rank,FOG - UK Rank,FOG - 2016,FOG - 2017,FOG - 2018,FOG - 2019,FOG - 2020,FOG - Total,FOG - Compared To 2016,LNG - Rank,LNG - European Rank,LNG - Asian Rank,LNG - North American Rank,LNG - Canadian Rank,LNG - UK Rank,LNG - 2016,LNG - 2017,LNG - 2018,LNG - 2019,LNG - 2020,LNG - Total,LNG - Compared To 2016,OOG - Rank,OOG - European Rank,OOG - Asian Rank,OOG - North American Rank,OOG - Canadian Rank,OOG - UK Rank,OOG - 2016,OOG - 2017,OOG - 2018,OOG - 2019,OOG - 2020,OOG - Total,OOG - Compared To 2016,TS - Rank,TS - European Rank,TS - Asian Rank,TS - North American Rank,TS - Canadian Rank,TS - UK Rank,TS - 2016,TS - 2017,TS - 2018,TS - 2019,TS - 2020,TS - Total,TS - Compared To 2016
Morgan Stanley,us,,,TRUE,,,,12.4%,$895.43,15,5,20,12,-,-,8,-,-,"$24,141,000,000.00","$24,617,000,000.00","$19,484,000,000.00","$22,072,000,000.00","$20,465,000,000.00","$110,778,000,000.00",Down,22,-,-,5,-,-,"$139,207,327.00","$12,924,269.40","$12,631,482.90","$216,560,634.00","$73,719,107.50","$455,042,821.00",Down,20,-,-,4,-,-,"$35,374,158.00","$482,180,247.00","$156,360,581.00","$140,271,675.00","$86,018,479.80","$900,205,141.00",Up,26,-,-,7,-,-,"$384,268,296.00","$152,149,614.00","$629,002,410.00","$383,043,995.00","$138,908,746.00","$1,687,373,062.00",Down,13,-,-,8,-,-,"$10,392,878,389.00","$9,543,967,125.00","$4,448,752,865.00","$11,267,000,000.00","$11,420,000,000.00","$47,072,000,000.00",Up,12,-,-,8,-,-,"$2,010,396,866.00","$3,577,376,852.00","$1,897,850,072.00","$2,222,405,933.00","$2,995,797,109.00","$12,704,000,000.00",Up,1,-,-,1,-,-,"$1,188,042,977.00","$2,360,687,812.00","$1,746,159,598.00","$1,979,481,488.00","$1,346,004,447.00","$8,620,376,322.00",Up,6,-,-,4,-,-,"$4,307,717,356.00","$2,375,423,060.00","$844,318,590.00","$4,430,266,414.00","$5,184,852,733.00","$17,143,000,000.00",Up,13,-,-,9,-,-,"$384,366,480.00","$45,309,365.80","$21,643,718.20","$225,784,288.00","$716,708,978.00","$1,393,812,830.00",Up
Goldman Sachs,us,,,TRUE,,,,10.1%,$992.97,16,4.5,20.5,16,-,-,9,-,-,"$22,894,000,000.00","$19,924,000,000.00","$17,167,000,000.00","$21,580,000,000.00","$18,941,000,000.00","$100,506,000,000.00",Down,20,-,-,4,-,-,"$104,671,721.00","$52,575,070.40","$97,895,799.40","$162,188,329.00","$231,399,334.00","$648,730,253.00",Up,17,-,-,3,-,-,"$175,000,000.00","$918,041,667.00","$215,343,165.00","$71,461,928.50","$157,227,378.00","$1,537,074,138.00",Down,28,-,-,8,-,-,"$174,623,768.00","$117,835,720.00","$352,648,522.00","$424,119,507.00","$428,366,159.00","$1,497,593,676.00",Up,15,-,-,10,-,-,"$10,554,170,207.00","$5,225,333,092.00","$4,642,482,597.00","$10,836,000,000.00","$8,214,360,729.00","$39,472,000,000.00",Down,13,-,-,9,-,-,"$5,278,710,694.00","$2,225,915,094.00","$1,640,090,855.00","$2,069,159,196.00","$1,458,817,083.00","$12,673,000,000.00",Down,13,-,-,6,-,-,"$729,046,973.00","$561,575,384.00","$343,018,265.00","$1,236,111,929.00","$836,565,188.00","$3,706,317,739.00",Up,10,-,-,5,-,-,"$1,879,859,567.00","$884,065,061.00","$1,135,411,034.00","$4,405,177,889.00","$3,345,383,391.00","$11,650,000,000.00",Up,19,-,-,11,-,-,"$325,412,161.00","$151,129,356.00","$42,256,426.70","$104,021,025.00","$118,760,635.00","$741,579,604.00",Down
Bank of Montreal,ca,,,TRUE,TRUE,,,14.6%,$665.20,10,1.5,11.5,20,-,-,10,4,-,"$17,369,000,000.00","$21,216,000,000.00","$21,559,000,000.00","$21,869,000,000.00","$15,194,000,000.00","$97,207,000,000.00",Down,45,-,-,9,3,-,$0.00,$0.00,"$44,442,876.50",$0.00,$0.00,"$44,442,876.50",Equal,22,-,-,5,1,-,"$35,372,240.80","$213,851,519.00","$178,738,549.00","$193,817,689.00","$158,950,387.00","$780,730,386.00",Up,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,14,-,-,9,4,-,"$9,050,137,686.00","$8,654,488,552.00","$8,487,692,165.00","$9,954,498,033.00","$6,942,669,147.00","$43,089,000,000.00",Down,14,-,-,10,4,-,"$404,741,525.00","$1,335,463,614.00","$2,303,883,712.00","$2,450,643,685.00","$2,065,640,780.00","$8,560,373,316.00",Up,55,-,-,12,5,-,$0.00,$0.00,"$19,985,525.00",$0.00,$0.00,"$19,985,525.00",Equal,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,5,-,-,5,4,-,"$2,632,736,169.00","$3,179,951,084.00","$1,485,933,889.00","$1,450,894,516.00","$1,295,350,587.00","$10,045,000,000.00",Down
Deutsche Bank,de,TRUE,,,,,,5.1%,"$1,456.26",22.5,7.5,30,31,5,-,-,-,-,"$19,637,000,000.00","$19,424,000,000.00","$15,257,000,000.00","$11,180,000,000.00","$9,126,000,000.00","$74,624,000,000.00",Down,16,6,-,-,-,-,"$178,661,100.00","$339,566,308.00","$48,789,856.60","$104,666,033.00","$63,796,821.30","$735,480,119.00",Down,13,2,-,-,-,-,"$35,372,240.80","$702,294,920.00","$640,757,047.00","$278,375,361.00","$600,121,727.00","$2,256,921,296.00",Up,37,8,-,-,-,-,"$249,477,804.00","$139,457,297.00",$0.00,"$51,095,683.70","$47,963,979.10","$487,994,764.00",Down,20,5,-,-,-,-,"$8,855,705,022.00","$7,180,908,162.00","$6,220,936,005.00","$3,275,387,563.00","$4,904,837,805.00","$30,438,000,000.00",Down,15,3,-,-,-,-,"$1,929,674,443.00","$2,210,327,293.00","$1,832,800,796.00","$589,829,057.00","$1,479,559,991.00","$8,042,191,580.00",Down,27,15,-,-,-,-,"$562,315,938.00","$68,157,571.50","$171,561,308.00","$82,743,175.90","$443,292,612.00","$1,328,070,606.00",Down,16,7,-,-,-,-,"$2,628,254,235.00","$1,337,878,542.00","$716,025,355.00","$1,106,346,782.00","$1,796,994,738.00","$7,585,499,652.00",Down,11,3,-,-,-,-,"$570,119,720.00","$359,654,610.00","$375,529,643.00","$96,545,685.90","$179,683,915.00","$1,581,533,575.00",Down
HSBC,gb,TRUE,,,,TRUE,,4.1%,"$2,715.15",16,4.5,20.5,10,3,-,-,-,2,"$17,914,000,000.00","$22,172,000,000.00","$20,489,000,000.00","$26,627,000,000.00","$23,542,000,000.00","$110,745,000,000.00",Up,18,8,-,-,-,2,"$123,210,479.00","$24,913,016.30","$186,752,138.00","$202,048,771.00","$131,474,555.00","$668,398,959.00",Up,31,11,-,-,-,3,"$83,287,955.90","$45,304,984.10","$81,402,044.20","$121,649,589.00","$86,018,479.80","$417,663,053.00",Up,17,2,-,-,-,2,"$175,814,052.00","$845,999,430.00","$819,650,362.00","$795,891,603.00","$549,836,281.00","$3,187,191,728.00",Up,11,3,-,-,-,2,"$6,457,973,710.00","$9,980,363,145.00","$6,106,658,698.00","$12,250,000,000.00","$16,170,000,000.00","$50,965,000,000.00",Up,16,4,-,-,-,2,"$706,250,436.00","$497,201,670.00","$1,172,960,393.00","$2,073,305,258.00","$2,909,954,654.00","$7,359,672,411.00",Up,10,3,-,-,-,1,"$668,867,217.00","$653,050,674.00","$627,342,955.00","$664,737,022.00","$1,731,700,674.00","$4,345,698,542.00",Up,5,2,-,-,-,1,"$2,807,413,911.00","$4,288,560,470.00","$1,500,489,419.00","$5,250,859,514.00","$7,766,206,882.00","$21,614,000,000.00",Up,10,2,-,-,-,2,"$840,815,553.00","$1,291,351,588.00","$206,089,456.00","$242,012,383.00","$445,272,443.00","$3,025,541,423.00",Down
SMBC Group,jp,,TRUE,,,,,4.2%,"$2,036.00",4.5,2,6.5,7,-,5,-,-,-,"$10,505,000,000.00","$12,117,000,000.00","$15,845,000,000.00","$19,595,000,000.00","$28,199,000,000.00","$86,261,000,000.00",Up,14,-,7,-,-,-,$0.00,"$363,079,992.00","$342,255,052.00","$52,327,063.60","$95,638,310.80","$853,300,418.00",Up,44,-,19,-,-,-,$0.00,"$40,744,376.20","$56,167,120.20","$115,589,801.00","$86,018,479.80","$298,519,778.00",Up,22,-,15,-,-,-,"$157,609,917.00","$157,657,170.00","$520,292,581.00","$510,821,581.00","$778,662,794.00","$2,125,044,043.00",Up,18,-,5,-,-,-,"$5,020,808,687.00","$5,248,977,099.00","$6,169,085,822.00","$9,008,627,145.00","$10,684,000,000.00","$36,132,000,000.00",Up,17,-,3,-,-,-,"$549,775,869.00","$1,254,215,522.00","$1,255,512,078.00","$2,646,418,041.00","$1,492,823,104.00","$7,198,744,615.00",Up,5,-,1,-,-,-,"$1,443,761,570.00","$734,347,667.00","$1,613,036,715.00","$1,260,400,122.00","$1,488,839,732.00","$6,540,385,806.00",Up,11,-,2,-,-,-,"$1,774,635,401.00","$1,531,645,661.00","$1,617,802,273.00","$1,922,248,703.00","$4,402,304,323.00","$11,249,000,000.00",Up,22,-,4,-,-,-,"$62,828,921.40","$109,536,228.00","$204,979,705.00","$47,950,522.80","$68,232,522.10","$493,527,899.00",Up
Truist,us,,,TRUE,,,,6.2%,$473.08,0,0,0,40,-,-,12,-,-,"$4,317,000,000.00","$6,710,000,000.00","$5,470,000,000.00","$7,552,000,000.00","$5,409,000,000.00","$29,459,000,000.00",Up,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,33,-,-,9,-,-,"$66,347,060.00","$137,802,867.00","$173,988,483.00","$199,868,251.00","$408,475,889.00","$986,482,549.00",Up,35,-,-,12,-,-,"$425,832,383.00","$2,175,989,844.00","$2,207,669,415.00","$1,193,869,060.00","$2,126,173,431.00","$8,129,534,133.00",Up,18,-,-,11,-,-,"$373,210,800.00","$1,905,272,661.00","$1,573,042,290.00","$1,015,040,474.00","$1,768,546,673.00","$6,635,112,898.00",Up,57,24,24,13,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,44,-,-,12,-,-,"$3,076,923.08","$8,928,571.45","$6,885,714.29","$6,545,454.55","$4,500,000.00","$29,936,663.40",Up
Société Générale,fr,TRUE,,,,,,4.8%,"$1,522.05",62,12,74,14,6,-,-,-,-,"$13,671,000,000.00","$10,193,000,000.00","$15,453,000,000.00","$14,674,000,000.00","$19,034,000,000.00","$73,026,000,000.00",Up,10,5,-,-,-,-,"$91,512,767.90","$26,552,136.00","$176,994,977.00","$193,562,070.00","$663,492,767.00","$1,152,114,717.00",Up,23,5,-,-,-,-,"$146,511,691.00","$258,757,167.00","$56,167,120.20","$136,206,261.00","$86,018,479.80","$683,660,718.00",Down,45,13,-,-,-,-,$0.00,"$10,582,010.60","$61,997,498.70","$51,095,683.70",$0.00,"$123,675,193.00",Equal,19,4,-,-,-,-,"$4,919,916,773.00","$3,243,263,358.00","$5,471,004,875.00","$7,700,934,822.00","$10,946,000,000.00","$32,282,000,000.00",Up,19,5,-,-,-,-,"$900,315,598.00","$390,541,309.00","$546,376,867.00","$2,215,439,916.00","$2,071,387,657.00","$6,124,061,347.00",Up,7,1,-,-,-,-,"$1,512,985,654.00","$1,136,448,406.00","$861,918,477.00","$1,352,822,476.00","$1,317,926,053.00","$6,182,101,066.00",Down,14,6,-,-,-,-,"$1,298,332,883.00","$848,754,077.00","$1,520,590,252.00","$1,864,176,312.00","$4,209,855,562.00","$9,741,709,087.00",Up,17,6,-,-,-,-,"$163,504,928.00","$68,977,237.90","$126,747,046.00","$163,530,175.00","$271,831,479.00","$794,590,866.00",Up
BNP Paribas,fr,TRUE,,,,,,5.0%,"$2,429.26",66,26.5,92.5,4,2,-,-,-,-,"$16,892,000,000.00","$17,716,000,000.00","$16,567,000,000.00","$28,900,000,000.00","$40,751,000,000.00","$120,825,000,000.00",Up,17,7,-,-,-,-,"$50,921,463.90","$18,743,230.10","$115,303,282.00","$209,263,182.00","$320,196,878.00","$714,428,035.00",Up,30,10,-,-,-,-,"$75,391,318.60","$40,744,376.20","$86,306,328.90","$136,374,822.00","$86,018,479.80","$424,835,325.00",Up,30,6,-,-,-,-,"$210,445,811.00","$228,278,438.00","$291,026,403.00","$502,780,488.00","$171,102,520.00","$1,403,633,660.00",Down,8,1,-,-,-,-,"$6,470,332,379.00","$5,035,811,811.00","$4,339,895,238.00","$14,391,000,000.00","$28,348,000,000.00","$58,585,000,000.00",Up,20,6,-,-,-,-,"$929,795,170.00","$228,000,888.00","$283,792,967.00","$1,094,215,405.00","$3,055,978,413.00","$5,591,782,843.00",Up,9,2,-,-,-,-,"$1,073,728,896.00","$548,049,785.00","$168,901,401.00","$708,141,674.00","$2,015,007,891.00","$4,513,829,647.00",Up,1,1,-,-,-,-,"$2,210,366,451.00","$2,350,782,187.00","$2,601,852,696.00","$7,990,171,860.00","$14,174,000,000.00","$29,327,000,000.00",Up,14,4,-,-,-,-,"$217,995,305.00","$116,082,168.00","$75,694,656.00","$90,938,542.70","$647,000,673.00","$1,147,711,345.00",Up
Crédit Agricole,fr,TRUE,,,,,,2.9%,"$2,256.72",67,7,74,13,7,-,-,-,-,"$8,886,000,000.00","$11,220,000,000.00","$13,069,000,000.00","$11,819,000,000.00","$19,594,000,000.00","$64,587,000,000.00",Up,9,4,-,-,-,-,"$101,228,428.00","$63,182,710.30","$192,543,848.00","$196,777,656.00","$842,854,355.00","$1,396,586,999.00",Up,39,16,-,-,-,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$150,366,869.00","$86,018,479.80","$368,669,086.00",Up,32,7,-,-,-,-,"$44,415,629.80","$222,574,666.00","$136,552,548.00","$241,246,662.00","$390,203,810.00","$1,034,993,316.00",Up,21,6,-,-,-,-,"$4,049,411,751.00","$4,327,136,359.00","$4,029,902,896.00","$6,457,947,765.00","$10,935,000,000.00","$29,800,000,000.00",Up,21,7,-,-,-,-,"$166,152,947.00","$1,563,112,306.00","$1,238,412,197.00","$504,175,676.00","$802,705,249.00","$4,274,558,375.00",Up,18,8,-,-,-,-,"$614,722,481.00","$497,888,762.00","$406,984,490.00","$558,892,483.00","$920,196,852.00","$2,998,685,068.00",Up,8,4,-,-,-,-,"$1,644,737,736.00","$1,996,977,325.00","$2,155,171,639.00","$3,156,823,598.00","$5,804,763,877.00","$14,758,000,000.00",Up,20,7,-,-,-,-,"$184,239,070.00","$68,394,440.80","$82,284,236.40","$101,543,075.00","$227,386,447.00","$663,847,269.00",Up
U.S. Bank,us,,,TRUE,,,,5.4%,$495.43,15.5,12,27.5,34,-,-,13,-,-,"$3,683,000,000.00","$5,786,000,000.00","$5,602,000,000.00","$4,331,000,000.00","$7,156,000,000.00","$26,558,000,000.00",Up,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,36,-,-,11,-,-,"$86,218,277.80","$44,268,873.40","$66,940,472.10","$159,650,255.00","$339,606,349.00","$696,684,227.00",Up,47,-,-,13,-,-,"$460,555,556.00","$847,884,615.00","$864,767,956.00","$740,022,363.00","$1,441,695,805.00","$4,354,926,295.00",Up,22,-,-,12,-,-,"$272,454,729.00","$815,895,545.00","$719,641,289.00","$526,571,344.00","$1,149,764,754.00","$3,484,327,661.00",Up,49,-,-,10,-,-,$0.00,"$42,565,764.20",$0.00,$0.00,"$37,518,609.10","$80,084,373.30",Up,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,50,-,-,13,-,-,$0.00,$0.00,$0.00,"$6,545,454.55","$4,500,000.00","$11,045,454.60",Up
CIBC,ca,,,TRUE,TRUE,,,13.5%,$495.99,0,3.5,3.5,28,-,-,11,5,-,"$12,272,000,000.00","$14,048,000,000.00","$11,610,000,000.00","$19,068,000,000.00","$9,742,000,000.00","$66,739,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,49,-,-,10,5,-,"$35,372,240.80",$0.00,$0.00,$0.00,$0.00,"$35,372,240.80",Down,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,25,-,-,11,5,-,"$2,564,399,303.00","$5,085,495,742.00","$2,239,669,812.00","$4,719,488,145.00","$3,954,943,605.00","$18,564,000,000.00",Up,23,-,-,13,5,-,"$96,096,843.80",$0.00,"$895,122,837.00","$503,889,881.00","$1,420,019,960.00","$2,915,129,522.00",Up,37,-,-,9,3,-,$0.00,$0.00,"$100,215,134.00","$109,412,308.00","$251,721,124.00","$461,348,566.00",Up,50,-,-,10,4,-,$0.00,$0.00,"$58,001,040.00",$0.00,$0.00,"$58,001,040.00",Equal,4,-,-,4,3,-,"$2,638,155,385.00","$4,291,230,939.00","$397,230,522.00","$3,147,977,445.00","$557,314,390.00","$11,032,000,000.00",Down
UBS,ch,TRUE,,,,,,3.7%,$972.18,21,7.5,28.5,47,10,-,-,-,-,"$7,671,000,000.00","$9,171,000,000.00","$11,034,000,000.00","$6,170,000,000.00","$2,083,000,000.00","$36,128,000,000.00",Down,35,14,-,-,-,-,"$68,525,021.30","$29,839,089.90","$56,198,994.50","$11,183,589.20","$37,307,329.50","$203,054,024.00",Down,21,4,-,-,-,-,"$53,655,263.40","$40,744,376.20","$67,422,763.50","$562,313,859.00","$86,018,479.80","$810,154,742.00",Up,27,5,-,-,-,-,"$752,850,253.00","$267,325,769.00","$330,699,836.00","$160,174,595.00","$46,465,832.80","$1,557,516,286.00",Down,28,9,-,-,-,-,"$2,377,363,834.00","$3,699,483,139.00","$3,642,383,060.00","$3,510,448,310.00","$621,518,054.00","$13,851,000,000.00",Down,24,8,-,-,-,-,"$333,515,414.00","$1,563,804,699.00","$553,255,314.00","$108,180,059.00","$22,981,394.10","$2,581,736,880.00",Down,14,5,-,-,-,-,"$585,884,043.00","$1,257,664,968.00","$1,045,218,247.00","$737,044,275.00","$3,097,357.39","$3,628,908,890.00",Down,22,10,-,-,-,-,"$492,449,827.00","$779,771,235.00","$1,105,732,005.00","$1,247,991,734.00","$50,481,078.70","$3,676,425,879.00",Down,23,8,-,-,-,-,"$84,534,475.40","$48,744,406.60","$90,890,984.80","$72,398,473.80","$118,694,728.00","$415,263,069.00",Up
ICBC,cn,,TRUE,,,,,2.2%,"$4,324.27",0,0.5,0.5,5,-,4,-,-,-,"$18,788,000,000.00","$13,285,000,000.00","$14,794,000,000.00","$19,617,000,000.00","$29,521,000,000.00","$96,005,000,000.00",Up,2,-,1,-,-,-,"$518,986,921.00","$31,817,674.40","$164,882,151.00","$948,826,219.00","$590,687,066.00","$2,255,200,031.00",Up,7,-,7,-,-,-,"$2,190,130,317.00","$1,433,449,945.00","$1,156,339,835.00","$1,151,820,774.00","$671,902,116.00","$6,603,642,987.00",Down,2,-,2,-,-,-,"$5,145,268,759.00","$4,783,058,020.00","$5,129,016,552.00","$4,218,349,940.00","$3,096,634,722.00","$22,372,000,000.00",Down,16,-,3,-,-,-,"$11,034,413,529.00","$4,656,740,510.00","$4,188,671,336.00","$8,476,433,375.00","$8,934,785,938.00","$37,291,000,000.00",Down,25,-,4,-,-,-,"$722,178,008.00","$16,704,249.50","$286,307,621.00","$859,724,503.00","$661,078,393.00","$2,545,992,775.00",Down,19,-,5,-,-,-,"$711,428,301.00","$551,880,342.00","$314,430,586.00","$407,795,429.00","$804,478,891.00","$2,790,013,550.00",Up,15,-,4,-,-,-,"$1,687,197,027.00","$312,346,193.00","$775,407,777.00","$3,993,907,619.00","$1,647,008,786.00","$8,415,867,403.00",Down,21,-,3,-,-,-,"$208,613,705.00","$32,936,881.90","$39,928,588.20","$131,230,421.00","$244,375,698.00","$657,085,294.00",Up
China Minsheng Bank,cn,,TRUE,,,,,2.7%,$959.63,1,0,1,25,-,14,-,-,-,"$1,672,000,000.00","$723,000,000.00","$2,637,000,000.00","$10,215,000,000.00","$10,873,000,000.00","$26,120,000,000.00",Up,3,-,2,-,-,-,$0.00,$0.00,"$79,391,489.20","$1,288,167,600.00","$786,109,955.00","$2,153,669,044.00",Up,14,-,12,-,-,-,"$201,442,249.00","$161,937,007.00","$659,005,117.00","$395,295,779.00","$603,382,928.00","$2,021,063,080.00",Up,29,-,16,-,-,-,"$311,875,696.00","$10,174,815.00","$272,910,703.00","$125,262,100.00","$731,534,192.00","$1,451,757,506.00",Up,26,-,7,-,-,-,"$198,082,010.20","$179,110,538.60","$1,151,520,602.00","$8,242,878,083.00","$6,782,114,740.00","$16,554,000,000.00",Up,26,-,5,-,-,-,$0.00,$0.00,"$143,024,409.00","$985,002,169.00","$852,354,341.00","$1,980,380,919.00",Up,41,-,14,-,-,-,$0.00,$0.00,"$1,247,982.17","$212,885,991.00","$68,353,098.60","$282,487,072.00",Up,17,-,5,-,-,-,$0.00,$0.00,"$308,573,432.00","$5,038,705,025.00","$1,921,995,497.00","$7,269,273,955.00",Up,25,-,6,-,-,-,$0.00,$0.00,"$10,948,884.30","$132,815,821.00","$190,234,254.00","$333,998,960.00",Up
Bank of China,cn,,TRUE,,,,,3.1%,"$3,270.15",0,0.5,0.5,17,-,3,-,-,-,"$25,944,000,000.00","$13,832,000,000.00","$22,302,000,000.00","$20,268,000,000.00","$18,850,000,000.00","$101,195,000,000.00",Down,8,-,4,-,-,-,"$429,766,861.00","$121,101,776.00","$220,298,199.00","$364,374,840.00","$268,030,300.00","$1,403,571,976.00",Down,3,-,3,-,-,-,"$3,243,923,527.00","$1,404,795,237.00","$2,999,668,505.00","$2,633,094,856.00","$1,946,263,590.00","$12,228,000,000.00",Down,1,-,1,-,-,-,"$4,718,234,420.00","$4,437,842,864.00","$6,439,332,696.00","$3,869,607,204.00","$3,319,599,197.00","$22,785,000,000.00",Down,17,-,4,-,-,-,"$9,979,736,607.00","$6,142,542,851.00","$7,475,874,257.00","$6,487,693,794.00","$7,074,197,762.00","$37,160,000,000.00",Down,27,-,6,-,-,-,"$558,798,844.00","$168,963,871.00","$386,140,079.00","$384,459,949.00","$289,127,708.00","$1,787,490,452.00",Down,23,-,6,-,-,-,"$549,287,686.00","$502,873,915.00","$324,329,858.00","$326,543,021.00","$253,442,253.00","$1,956,476,733.00",Down,18,-,6,-,-,-,"$1,251,354,527.00","$568,333,325.00","$950,442,037.00","$2,177,964,771.00","$940,994,540.00","$5,889,089,200.00",Down,24,-,5,-,-,-,"$107,902,000.00","$44,580,758.70","$47,571,018.20","$67,552,130.00","$83,887,930.70","$351,493,837.00",Down
BPCE/Natixis,fr,TRUE,,,,,,5.2%,$714.40,61,13.5,74.5,39,9,-,-,-,-,"$5,130,000,000.00","$5,730,000,000.00","$12,028,000,000.00","$7,739,000,000.00","$6,350,000,000.00","$36,978,000,000.00",Up,40,16,-,-,-,-,$0.00,"$11,065,250.20",$0.00,"$5,434,926.41","$74,292,646.90","$90,792,823.50",Up,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,52,19,-,-,-,-,$0.00,$0.00,$0.00,"$4,952,621.85","$3,714,466.42","$8,667,088.27",Up,39,14,-,-,-,-,"$879,440,216.10","$1,034,253,842.00","$843,352,367.00","$1,508,115,143.00","$2,138,624,918.00","$6,403,786,487.00",Up,28,9,-,-,-,-,"$120,721,154.00","$385,868,589.00","$430,458,401.00","$307,127,427.00","$528,719,283.00","$1,772,894,854.00",Up,22,11,-,-,-,-,"$148,906,574.00","$273,938,746.00","$75,809,608.70","$994,196,076.00","$665,739,228.00","$2,158,590,234.00",Up,30,13,-,-,-,-,"$460,316,520.00","$229,248,613.00","$301,359,444.00","$748,721,214.00","$445,526,643.00","$2,185,172,435.00",Down,38,13,-,-,-,-,"$3,076,923.08","$17,612,783.70","$9,316,968.52","$2,262,863.66","$19,730,660.90","$52,000,199.80",Up
BBVA,es,TRUE,,,,,,2.9%,$782.16,34,9,43,41,14,-,-,-,-,"$4,676,000,000.00","$3,426,000,000.00","$4,559,000,000.00","$4,818,000,000.00","$4,871,000,000.00","$22,351,000,000.00",Up,41,17,-,-,-,-,"$16,793,893.70","$14,879,357.60",$0.00,"$13,972,236.90","$34,481,013.20","$80,126,501.40",Up,40,17,-,-,-,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$132,589,700.00","$86,018,479.80","$350,891,916.00",Up,41,11,-,-,-,-,$0.00,$0.00,$0.00,"$156,145,556.00","$27,070,257.30","$183,215,814.00",Up,32,11,-,-,-,-,"$1,941,192,846.00","$1,800,417,165.00","$1,618,394,157.00","$2,555,311,872.00","$1,920,371,398.00","$9,835,687,438.00",Down,29,10,-,-,-,-,"$157,475,085.00","$346,339,422.00","$615,990,084.00","$299,537,020.00","$293,805,114.00","$1,713,146,725.00",Up,24,12,-,-,-,-,"$315,573,237.00","$80,376,061.30","$488,996,258.00","$460,106,566.00","$570,631,905.00","$1,915,684,028.00",Up,20,8,-,-,-,-,"$760,253,586.00","$724,196,164.00","$579,900,915.00","$1,280,591,206.00","$615,813,296.00","$3,960,755,167.00",Down,34,11,-,-,-,-,"$7,092,857.13","$17,235,040.80",$0.00,"$26,237,584.70","$21,537,871.30","$72,103,354.10",Up
