|FRN|Firm|
|213674|Haghill Dennistoun Credit Union Limited|
|213805|Halton Credit Union Limited|
|213929|Hamilton Credit Union Limited|
|574097|Hamilton Road Credit Union Limited|
|213757|Hampshire Credit Union Limited|
|573794|Hannahstown Credit Union Limited|
|577113|Harp and Crown Credit Union Limited|
|213644|Hastings and Rother Credit Union Limited|
|213747|Hertsavers Credit Union Limited|
|213406|Hillingdon Credit Union Limited|
|213516|Holdfast Credit Union Limited|
|400120|Hoot Credit Union Limited|
|213620|Hull and East Yorkshire Credit Union Limited|
|573997|Irvinestown Credit Union Limited|
|214006|Islay & Jura Credit Union Limited|
|213802|Johnstone Credit Union Limited|
|213662|Jubilee Tower Credit Union Limited|
|213712|Just Credit Union Limited|
|573994|Keady Credit Union Limited|
|503258|Kent Savers Credit Union Limited|
|223115|Kernow Credit Union Limited|
|574429|Kildress Credit Union Limited|
|573642|Kilkeel Credit Union Limited|
|578293|Kilrea and District No 5 Credit Union Limited|
|574095|Kilrea, Rasharkin & Dunloy Credit Union Limited|
|213936|Kilsyth and Villages Credit Union Limited|
|231896|Kingdom Credit Union Limited|
|574798|Kingdom of Mourne Credit Union Limited|
|213852|Kirklands Credit Union Limited|
|213709|Knightscliffe Temple Credit Union Limited|
|574102|Knockninny Credit Union Limited|
|213483|Knowsley Mutual Credit Union Limited|
|575491|Lagan Valley Credit Union Limited|
|573321|Lakeland Credit Union Limited|
|574025|Larne Credit Union Limited|
|216632|LASER Credit Union Limited|
|576216|Lecale Credit Union Limited|
|213369|Leeds City Credit Union Limited|
|213268|Leicester Caribbean Credit Union Limited|
|213846|Levern Credit Union Limited|
|213588|Lewisham Plus Credit Union Limited|
|219796|Liberty Credit Union Limited|
|574041|Limavady Credit Union Limited|
|577503|Link Credit Union Limited|
|573843|Lisbellaw Credit Union Limited|
|573573|Lisburn Credit Union Limited|
|573867|Lisnaskea Credit Union Limited|
|213676|Llanelli and District Credit Union Limited|
|213861|Llynfi Valley Credit Union Limited|
|213288|Lodge Lane and District (Liverpool) Credit Union Limited|
|213267|London Adventist Credit Union Limited|
|214094|London Capital Credit Union|
|213743|London Community Credit Union Limited|
|213248|London Mutual Credit Union Limited|
|473340|London Plus Credit Union Limited|
|213233|London Taxi Drivers Credit Union Limited|
|576114|Loughguile Credit Union Limited|
|573785|Lurgan Credit Union Limited|
|216633|M for Money Credit Union Limited|
|213387|M W S (Wrekin) Credit Union Limited|
|574317|Macnean Credit Union Limited|
|574324|Maghera Credit Union Limited|
|573660|Magherafelt & District No 3 Credit Union Limited|
|574139|Magherafelt Credit Union Limited|
|573798|Magilligan Credit Union Limited|
|573917|Mallard Credit Union Limited|
|213400|Manchester Credit Union Limited|
|213401|Manchester Unity Credit Union Limited|
|213130|Medway Credit Union Limited|
|213691|Mendip Community Credit Union Limited|
|213379|Metro Moneywise Credit Union Limited|
|574115|Mid-Tyrone Credit Union Limited|
|213974|Money Box Credit Union Limited|
|213625|Money Matters Credit Union Limited|
|213486|MoneyWise Newcastle Credit Union Limited|
|213795|Moray Firth Credit Union Ltd|
|213658|Morecambe Bay Credit Union Limited|
|213862|Mosshill Credit Union Limited|
|213694|Motherwell and District Credit Union Limited|
|573792|Mourne Valley Credit Union Limited|
|574428|Mournederg Credit Union Limited|
|572905|Moyenir Credit Union Limited|
|573465|Moyola & Toome Credit Union Limited|
|573320|Muckamore Credit Union Limited|
|213995|National Fire Savers Credit Union Limited|
|215686|NEFirst Credit Union Limited|
|213602|New Easterhouse Credit Union Limited|
|575055|New Horizons Credit Union Limited|
|213880|Newarthill Credit Union Limited|
|573878|Newington Credit Union Limited|
|213745|Newmains & District Credit Union Limited|
|574030|Newmount Credit Union Limited|
|213547|Newport Credit Union Limited|
|573710|Newry Credit Union Limited|
|576129|Newtownards Credit Union Limited|
|575928|Newtownbutler Credit Union Limited|
|573918|Newtownhamilton Credit Union Limited|
|436625|NFRN Credit Union Limited|
|213898|NHS (Scotland & North England) Credit Union Limited|
|578295|No 5 Credit Union Limited|
|213460|Norfolk First Credit Union Limited|
|213404|Norris Green Credit Union Limited|
|573919|North Belfast Credit Union Limited|
|213786|North Coatbridge Credit Union Limited|
|213980|North East Fife Credit Union|
|213877|North Edinburgh and Castle Credit Union Ltd|
|213361|North Tyneside Employees Credit Union Limited|
|574096|North Tyrone Credit Union Limited|
|213672|North Wales Credit Union Limited (Llandudno)|
|213351|Norwich Credit Union Limited|
|213439|Nottingham Credit Union Limited|
|213301|Number One Police Credit Union Limited|
|214252|Oldham Credit Union Limited|
|573651|Omagh Credit Union Limited|
|213855|Open University Employees Credit Union Limited|
|574017|Orchard Credit Union Limited|
|573322|Ormeau Credit Union Limited|
|574118|Owenkillew Credit Union Limited|
|213457|P.B.F.A. Credit Union Limited|
|213715|Partners Credit Union Limited|
|213890|Penilee Credit Union Limited|
|213244|Pennine Community Credit Union Limited|
|213680|Penny Post Credit Union Limited|
|573346|Pennyburn Credit Union Limited|
|597353|Perth & Kinross Credit Union Limited|
|213633|Pioneer Credit Union Limited|
|213249|Pitney-Bowes Employees Credit Union Limited|
|213609|Plane Saver Credit Union Limited|
|213306|Police Credit Union Limited|
|213798|Pollok Credit Union Limited|
|574103|Pomeroy Credit Union Limited|
|213651|Port Glasgow Credit Union Limited|
|573789|Portadown Credit Union Limited|
|574430|Portaferry Credit Union Limited|
|228612|R.M.T. Credit Union Limited|
|574954|Rathfriland Credit Union Limited|
