,#ID_RSSD,D_DT_START,D_DT_END,BHC_IND,BROAD_REG_CD,CHTR_AUTH_CD,CHTR_TYPE_CD,FBO_4C9_IND,FHC_IND,FUNC_REG,INSUR_PRI_CD,MBR_FHLBS_IND,MBR_FRS_IND,SEC_RPTG_STATUS,EST_TYPE_CD,BANK_CNT,BNK_TYPE_ANALYS_CD,D_DT_EXIST_CMNC,D_DT_EXIST_TERM,FISC_YREND_MMDD,D_DT_INSUR,D_DT_OPEN,FNCL_SUB_HOLDER,FNCL_SUB_IND,IBA_GRNDFTHR_IND,IBF_IND,ID_RSSD_HD_OFF,MJR_OWN_MNRTY,NM_LGL,NM_SHORT,NM_SRCH_CD,ORG_TYPE_CD,REASON_TERM_CD,CNSRVTR_CD,ENTITY_TYPE,AUTH_REG_DIST_FRS,ACT_PRIM_CD,CITY,CNTRY_NM,ID_CUSIP,STATE_ABBR_NM,PLACE_CD,STATE_CD,STATE_HOME_CD,STREET_LINE1,STREET_LINE2,ZIP_CD,ID_THRIFT,ID_THRIFT_HC,DOMESTIC_IND,ID_ABA_PRIM,ID_FDIC_CERT,ID_NCUA,COUNTY_CD,DIST_FRS,ID_OCC,CNTRY_CD,DT_END,DT_EXIST_CMNC,DT_EXIST_TERM,DT_INSUR,DT_OPEN,DT_START,ID_TAX,PROV_REGION,URL,SLHC_IND,SLHC_TYPE_IND,PRIM_FED_REG,STATE_INC_CD,CNTRY_INC_CD,STATE_INC_ABBR_NM,CNTRY_INC_NM,ID_LEI,IHC_IND
93219,287520,10/15/2002 00:00:00,04/30/2015 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,04/30/2015 00:00:00,0,,11/14/1966 00:00:00,0,0,0,0,42420,0,EXPORT BRANCH                                                                                                           ,EXPORT BRANCH                 ,485886221,0,0,0,DBR,0,0,EXPORT,UNITED STATES                           ,0,PA,24432,42,0,5780 KENNEDY AVE,0,15632    ,0,0,Y,0,0,0,129,4,0,1007,20150430,0,20150430,0,19661114,20021015,0,0,0,0,0,,0,0,0,,0,0
93220,615075,05/01/2018 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,01/01/1882 00:00:00,0,0,0,0,42420,0,WOODLAWN BRANCH                                                                                                         ,WOODLAWN BR                   ,661208159,0,0,0,DBR,0,0,CINCINNATI,UNITED STATES                           ,0,OH,15000,39,0,9960 SPRINGFIELD PIKE,0,45215    ,0,0,Y,0,0,0,61,4,0,1007,99991231,0,99991231,0,18820101,20180501,0,0,0,0,0,,0,0,0,,0,0
93221,2617381,09/27/1997 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,09/27/1997 00:00:00,0,0,0,0,42420,0,MCDONALD BRANCH                                                                                                         ,MCDONALD BR                   ,383197850,0,0,0,DBR,0,0,MCDONALD,UNITED STATES                           ,0,PA,0,42,0,311 WEST BARR STREET,0,15057    ,0,0,Y,0,0,0,125,4,0,1007,99991231,0,99991231,0,19970927,19970927,0,0,0,0,0,,0,0,0,,0,0
93222,453026,10/01/2015 00:00:00,06/10/2022 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,06/10/2022 00:00:00,0,,02/12/1903 00:00:00,0,0,0,0,42420,0,BROAD STREET BRANCH                                                                                                     ,BROAD ST BR                   ,156343668,0,0,0,DBR,0,0,WHITEHALL,UNITED STATES                           ,0,OH,84742,39,0,4300 EAST BROAD ST,0,43213    ,0,0,Y,0,0,0,49,4,0,1007,20220610,0,20220610,0,19030212,20151001,0,0,0,0,0,,0,0,0,,0,0
93223,3317633,06/30/2004 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,06/30/2004 00:00:00,0,0,0,0,42420,0,NORTH MAIN STREET                                                                                                       ,N MAIN ST                     ,72712134,0,0,0,DBR,0,0,DU BOIS,UNITED STATES                           ,0,PA,0,42,0,5 NORTH MAIN STREET,0,15801    ,0,0,Y,0,0,0,33,3,0,1007,99991231,0,99991231,0,20040630,20040630,0,0,0,0,0,,0,0,0,,0,0
93275,49223,11/14/1995 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,10/11/1971 00:00:00,0,0,0,0,42420,0,SOMERSET BRANCH                                                                                                         ,SOMERSET BRANCH               ,546757595,0,0,0,DBR,0,0,SOMERSET,UNITED STATES                           ,0,PA,71776,42,0,2040 NORTH CENTER AVENUE,0,15501    ,0,0,Y,0,0,0,111,4,0,1007,99991231,0,99991231,0,19711011,19951114,0,0,0,0,0,,0,0,0,,0,0
93276,1175950,11/14/1995 00:00:00,02/27/1998 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,02/27/1998 00:00:00,0,,03/21/1988 00:00:00,0,0,0,0,42420,0,WISSINGERS MARKETPLACE BR                                                                                               ,WISSINGERS MARKETPLACE BR     ,533098664,0,0,0,DBR,0,0,ALTOONA,UNITED STATES                           ,0,PA,2184,42,0,2032 EAST PLEASANT VALLEY BOULEVARD,0,16602    ,0,0,Y,0,0,0,13,3,0,1007,19980227,0,19980227,0,19880321,19951114,0,0,0,0,0,,0,0,0,,0,0
93279,189718,11/14/1995 00:00:00,06/30/2007 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,06/30/2007 00:00:00,0,,06/17/1965 00:00:00,0,0,0,0,42420,0,PETERSBURG OFFICE                                                                                                       ,PETERSBURG OFFICE             ,833089948,0,0,0,DBR,0,0,PETERSBURG,UNITED STATES                           ,0,PA,59616,42,0,PO BOX 229,0,16669    ,0,0,Y,0,0,0,61,3,0,1007,20070630,0,20070630,0,19650617,19951114,0,0,0,0,0,,0,0,0,,0,0
93280,662323,11/14/1995 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,10/15/1973 00:00:00,0,0,0,0,42420,0,UNIVERSITY BRANCH                                                                                                       ,UNIVERSITY BR                 ,883636668,0,0,0,DBR,0,0,JOHNSTOWN,UNITED STATES                           ,0,PA,64544,42,0,3112 ELTON ROAD,0,15904    ,0,0,Y,0,0,0,21,3,0,1007,99991231,0,99991231,0,19731015,19951114,0,0,0,0,0,,0,0,0,,0,0
93282,1004117,11/14/1995 00:00:00,10/30/2015 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,10/30/2015 00:00:00,0,,01/01/1880 00:00:00,0,0,0,0,42420,0,DOWNTOWN DUBOIS OFFICE                                                                                                  ,DOWNTOWN DUBOIS OFFICE        ,493850679,0,0,0,DBR,0,0,DU BOIS,UNITED STATES                           ,0,PA,20136,42,0,2 EAST LONG AVENUE,0,15801    ,0,0,Y,0,0,0,33,3,0,1007,20151030,0,20151030,0,18800101,19951114,0,0,0,0,0,,0,0,0,,0,0
93283,713010,11/14/1995 00:00:00,09/04/2003 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,09/04/2003 00:00:00,0,,08/21/1959 00:00:00,0,0,0,0,42420,0,719 BEDFORD BRANCH                                                                                                      ,719 BEDFORD BR                ,39881277,0,0,0,DBR,0,0,JOHNSTOWN,UNITED STATES                           ,0,PA,38288,42,0,719 BEDFORD STREET,0,15902    ,0,0,Y,0,0,0,21,3,0,1007,20030904,0,20030904,0,19590821,19951114,0,0,0,0,0,,0,0,0,,0,0
93284,5755855,06/13/2022 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,06/13/2022 00:00:00,0,0,0,0,42420,0,WEXFORD PERRY HIGHWAY                                                                                                   ,WEXFORD PERRY HWY             ,402037501,0,0,0,DBR,0,0,WEXFORD,UNITED STATES                           ,0,PA,0,42,0,12449 PERRY HIGHWAY,0,15090    ,0,0,Y,0,0,0,3,4,0,1007,99991231,0,99991231,0,20220613,20220613,0,0,0,0,0,,0,0,0,,0,0
93315,747314,04/03/2017 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,06/06/1960 00:00:00,0,0,0,0,42420,0,DELAWARE CENTER BRANCH                                                                                                  ,DELAWARE CENTER BRANCH        ,523866897,0,0,0,DBR,0,0,DELAWARE,UNITED STATES                           ,0,OH,21434,39,0,199 S SANDUSKY ST,0,43015    ,0,0,Y,0,0,0,41,4,0,1007,99991231,0,99991231,0,19600606,20170403,0,0,0,0,0,,0,0,0,,0,0
93316,1000025,06/30/2004 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,09/10/1969 00:00:00,0,0,0,0,42420,0,LIGONIER VALLEY BRANCH                                                                                                  ,LIGONIER VALLEY BRANCH        ,391284209,0,0,0,DBR,0,0,LIGONIER,UNITED STATES                           ,0,PA,43240,42,0,1506 RT 30,0,15658    ,0,0,Y,0,0,0,129,4,0,1007,99991231,0,99991231,0,19690910,20040630,0,0,0,0,0,,0,0,0,,0,0
93317,15125,08/25/1975 00:00:00,05/31/1995 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,05/31/1995 00:00:00,0,,08/25/1975 00:00:00,0,0,0,0,42420,0,STUDENT UNION BRANCH                                                                                                    ,STUDENT UNION BRANCH          ,164352865,0,0,0,DBR,0,0,INDIANA,UNITED STATES                           ,0,PA,36816,42,0,STUDENT UNION BLDG.,0,15701    ,0,0,Y,0,0,0,63,4,0,1007,19950531,0,19950531,0,19750825,19750825,0,0,0,0,0,,0,0,0,,0,0
93319,3150773,01/01/2010 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,08/07/2000 00:00:00,0,0,0,0,42420,0,GRANT STREET OFFICE                                                                                                     ,GRANT ST OFF                  ,748799095,0,0,0,DBR,0,0,PITTSBURGH,UNITED STATES                           ,0,PA,0,42,0,"501 GRANT STREET, SUITE 150",0,15219    ,0,0,Y,0,0,0,3,4,0,1007,99991231,0,99991231,0,20000807,20100101,0,0,0,0,0,,0,0,0,,0,0
