,tag,title,updated_at,link,address,postal_code,city,country,website,filink_id
32,rbc,Royal Bank of Canada (RBC),2021-02-26 00:00:00,https://www.banktrack.org/bank/rbc,200 Bay Street,ON  M5J 2J5,Toronto,Canada,http://www.rbc.com,78
33,natwest,NatWest Group,2021-02-23 00:00:00,https://www.banktrack.org/bank/natwest,36 St Andrew Square,EH2 2YB, Edinburgh Scotland,United Kingdom,https://www.natwestgroup.com/,82
34,scotiabank,Scotiabank,2021-01-12 00:00:00,https://www.banktrack.org/bank/scotiabank,44 King St. W.,M5H 1H1,Toronto,Canada,http://www.scotiabank.com,262
35,china_construction_bank,China Construction Bank,2021-02-16 00:00:00,https://www.banktrack.org/bank/china_construction_bank,"25 Finance Street, Xicheng District",,Beijing,China,http://en.ccb.com/en/home/indexv3.html,195
36,industrial_commercial_bank_of_china,Industrial and Commercial Bank of China (ICBC),2021-02-19 00:00:00,https://www.banktrack.org/bank/industrial_commercial_bank_of_china,"55 Fuxingmennei Avenue, Xicheng District",10032,Beijing,China,http://www.icbc-ltd.com/ICBCLtd/en/,199
37,state_bank_of_india,State Bank of India,2021-03-03 00:00:00,https://www.banktrack.org/bank/state_bank_of_india,"Central Office, 8th Fl., Madame Cama Road 400 021",,Mumbai,India,https://sbi.co.in/,968
38,standard_bank,Standard Bank,2021-03-15 00:00:00,https://www.banktrack.org/bank/standard_bank,9th Floor - 5 Simmonds St.,2001,Johannesburg,South Africa,http://www.standardbank.co.za/,260
39,credit_agricole,Crédit Agricole,2021-02-15 00:00:00,https://www.banktrack.org/bank/credit_agricole,"114, avenue de la République",92120,Montrouge,France,http://www.credit-agricole.com/en,1026
40,unicredit,UniCredit,2021-04-16 11:13:36,https://www.banktrack.org/bank/unicredit,Plazza Gae Aulenti 3 - Tower A,20154,Milan,Italy,http://www.unicreditgroup.eu,1634
41,banco_galicia,Banco Galicia,2020-09-29 00:00:00,https://www.banktrack.org/bank/banco_galicia,Tte. Gral. Juan D. Perón 407,C1038AAI,Buenos Aires,Argentina,http://www.bancogalicia.com,1481
42,bmo_financial_group,Bank of Montreal (BMO),2021-02-09 00:00:00,https://www.banktrack.org/bank/bmo_financial_group,1 First Canadian Place,ON M5X 1H3,Toronto,Canada,http://www.bmo.com/home,51
43,triodos_bank,Triodos Bank,2021-01-07 15:25:07,https://www.banktrack.org/bank/triodos_bank,Nieuweroordweg 1,3704 EC,Zeist,Netherlands,http://www.triodos.com,88
44,banca_etica,Banca Etica,2016-03-29 12:56:32,https://www.banktrack.org/bank/banca_etica,"Via Niccolò Tommaseo, 7",35131,Padova,Italy,https://www.bancaetica.it/,1451
45,alternative_bank_schweiz,Alternative Bank Schweiz,2015-12-23 17:08:31,https://www.banktrack.org/bank/alternative_bank_schweiz,Amthausquai 21,4601,Olten,Switzerland,http://www.abs.ch,1262
46,asn_bank,ASN Bank,2020-11-03 16:14:36,https://www.banktrack.org/bank/asn_bank,Bezuidenhoutseweg 153,2594AG,The Hague,Netherlands,http://www.asnbank.nl/,100
47,gls_bank,GLS Bank,2021-05-07 00:00:00,https://www.banktrack.org/bank/gls_bank,Christstraße 9,44789,Bochum,Germany,http://www.gls.de,1252
48,macquarie_group,Macquarie,2020-12-04 00:00:00,https://www.banktrack.org/bank/macquarie_group,50 Martin Place,NSW 2000,Sydney,Australia,http://www.macquarie.com.au,549
49,the_co_operative_bank,The co-operative bank,2021-04-05 00:00:00,https://www.banktrack.org/bank/the_co_operative_bank,1 Balloon Street,M60 4EP,Manchester,United Kingdom,https://www.co-operativebank.co.uk/,96
50,rsf_social_finance,RSF Social Finance,2016-10-31 17:15:11,https://www.banktrack.org/bank/rsf_social_finance,1002A O’Reilly Avenue,CA 94129,San Francisco,United States,http://www.rsfsocialfinance.org,1189
51,caixa_economica_federal,Caixa Econômica Federal,2021-06-17 00:00:00,https://www.banktrack.org/bank/caixa_economica_federal,SBS Quadra 4 Lotes 3 E 4 Edificio Sede 21 ,,Brasilia,Brazil,http://www.caixa.gov.br/Paginas/home-caixa.aspx,599
52,CaixaBank,CaixaBank,2021-02-09 00:00:00,https://www.banktrack.org/bank/CaixaBank,Avda Diagonal 621-629,8028,Barcelona,Spain,http://www.caixabank.com,290
53,banco_popular_espanol,Banco Popular Español,2018-07-30 12:03:13,https://www.banktrack.org/bank/banco_popular_espanol,"C/Velázquez, 34 esq. Goya 35, Madrid",28001,Madrid,Spain,https://www.bancopopular.es,1361
54,banco_espirito_santo,Banco Espirito Santo,2016-08-02 16:16:51,https://www.banktrack.org/bank/banco_espirito_santo,"Avenida da Liberdade, 195",1250-142,Lisboa,Portugal,http://www.bes.pt/01.1_home_uk.html,55
55,caisse_de_economie_solidaire_desjardins,Desjardins Group,2020-12-10 15:10:31,https://www.banktrack.org/bank/caisse_de_economie_solidaire_desjardins,100 Des Commandeurs Street,QC G6V 7N5,Lévis,Canada,https://www.desjardins.com,1392
56,ekobanken,Ekobanken,2015-12-23 17:00:52,https://www.banktrack.org/bank/ekobanken,Skäve Magasin,153 22,Järna,Sweden,https://www.ekobanken.se/en/,1264
57,china_development_bank,China Development Bank,2021-01-07 00:00:00,https://www.banktrack.org/bank/china_development_bank,"18 Fuxingmennei Street, Xicheng District",100031,Beijing,China,http://www.cdb.com.cn/,196
58,china_exim_bank,Export-Import Bank of China,2016-05-24 11:19:52,https://www.banktrack.org/bank/china_exim_bank,"No.30, Fu Xing Men Nei Street, Xi cheng District,",100031,Beijing,China,http://english.eximbank.gov.cn/,1633
59,china_everbright_bank,China Everbright Bank,2021-01-18 00:00:00,https://www.banktrack.org/bank/china_everbright_bank,"China Everbright Center, 25 Taipingqiao Avenue",,"Xicheng District, Beijing",China,http://www.cebbank.com,1827
60,cibc,Canadian Imperial Bank of Commerce (CIBC),2021-02-16 00:00:00,https://www.banktrack.org/bank/cibc,Commerce Court,M5L 1A2,Toronto,Canada,https://www.cibc.com/en/,998
61,manulife,Manulife,2021-09-03 15:07:22,https://www.banktrack.org/bank/manulife,200 Bloor East Street,M4W 1E5,Toronto,Canada,http://www.manulife.com,1513
62,nordea,Nordea,2021-03-05 00:00:00,https://www.banktrack.org/bank/nordea,Satamaradankatu 5, FI-00020,Helsinki,Finland,http://www.nordea.com,370
63,zurich_kantonalbank,Zurich Kantonalbank,2016-10-31 17:15:11,https://www.banktrack.org/bank/zurich_kantonalbank,Bahnhofstrasse 9,8001,Zurich,Switzerland,http://www.zkb.ch/de/center_worlds/englishwindow.html,403
64,td_bank_financial_group,Toronto-Dominion Bank (TD Bank),2021-03-02 00:00:00,https://www.banktrack.org/bank/td_bank_financial_group,"12th Floor, 55 King St. West",ON M5K 1A2,Toronto,Canada,http://www.td.com,394
65,danske_bank,Danske Bank,2021-04-19 00:00:00,https://www.banktrack.org/bank/danske_bank,Holmens Kanal 2-12,1092,Copenhagen,Denmark,http://www.danskebank.com,298
66,erste_group,Erste Group Bank,2021-05-10 00:00:00,https://www.banktrack.org/bank/erste_group,Am Belvedere 1,1100,Vienna,Austria,http://www.erstegroup.com,1328
67,wells_fargo,Wells Fargo,2021-01-08 11:03:32,https://www.banktrack.org/bank/wells_fargo,420 Montgomery Street,CA 94104,San Francisco,United States,http://www.wellsfargo.com/,84
